panstwo,rok,udzial_ev_procent,udzial_ev_dopasowany_procent
Malta,2018,2.21,0.5394929407805822
Malta,2019,4.57,0.6271425639963468
Malta,2020,1.53,2.7112125594702325
Malta,2021,2.42,7.5965905784348475
Malta,2022,2.99,9.7658685447937
Malta,2023,28.82,23.625862959380676
Malta,2024,51.14,33.553642862499224
Malta,2025,44.34,84.05911033334958
Niemcy,2009,0.0,0.03709314417066275
Niemcy,2010,0.0,0.05321953082983833
Niemcy,2011,0.0699999999999999,0.07580314188485189
Niemcy,2012,0.12,0.07847153128320203
Niemcy,2013,0.1999999999999999,0.10725947575892406
Niemcy,2014,0.41,0.16031968870490357
Niemcy,2015,0.73,0.21814657262170206
Niemcy,2016,0.75,0.31759325246232206
Niemcy,2017,1.55,0.43290067554563977
Niemcy,2018,1.92,0.5033551121836846
Niemcy,2019,2.93,0.5813877101034279
Niemcy,2020,13.4,3.4294593338175297
Niemcy,2021,25.700000000000003,4.890804654402489
Niemcy,2022,31.07,7.152748864733403
Niemcy,2023,24.39,15.462365970831469
Niemcy,2024,20.24,20.81882222945509
Niemcy,2025,29.97,71.1463551790139
Polska,2009,0.0,0.009243311259768546
Polska,2010,0.0,0.012055307616994922
Polska,2011,0.01,0.01495727047363654
Polska,2012,0.01,0.01622920593309601
Polska,2013,0.01,0.017195544832475578
Polska,2014,0.04,0.019984127269062086
Polska,2015,0.07,0.030460866989435544
Polska,2016,0.07,0.03437284401933454
Polska,2017,0.18,0.04387898088478836
Polska,2018,0.24,0.052851099774159686
Polska,2019,0.47,0.07177000414720905
Polska,2020,1.88,0.6695116683280391
Polska,2021,3.64,0.9909332069687421
Polska,2022,5.25,1.3206617702535683
Polska,2023,6.34,2.319423703596799
Polska,2024,5.7,4.2085901390731815
Polska,2025,12.96,39.10929181465901
Portugalia,2009,0.0,0.18926783126885421
Portugalia,2010,0.01,0.21032949006926852
Portugalia,2011,0.13,0.17076389516914625
Portugalia,2012,0.1,0.1660619640135368
Portugalia,2013,0.17,0.21005094871185434
Portugalia,2014,0.2,0.2538797339916397
Portugalia,2015,0.66,0.3381002484275791
Portugalia,2016,0.89,0.4275128998810935
Portugalia,2017,1.85,0.44747214977535943
Portugalia,2018,3.62,0.5350164225327741
Portugalia,2019,5.68,0.6570923903525122
Portugalia,2020,13.55,2.854989213674409
Portugalia,2021,19.77,3.6329890195117622
Portugalia,2022,21.65,7.0738816238551285
Portugalia,2023,31.42,15.172800562337555
Portugalia,2024,33.239999999999995,24.773084930275353
Portugalia,2025,38.42,70.90365867312141
Rumunia,2009,0.0,0.01618439796148507
Rumunia,2010,0.0,0.016066916083537913
Rumunia,2011,0.01,0.018322889714063928
Rumunia,2012,0.01,0.02044103901879951
Rumunia,2013,0.05,0.021461896408649664
Rumunia,2015,0.16,0.03159084644764913
Rumunia,2016,0.17,0.04273786880698929
Rumunia,2017,0.35,0.07001490039909047
Rumunia,2018,0.52,0.09312940372002285
Rumunia,2019,1.42,0.15439816099934822
Rumunia,2020,3.08,1.2804798683848473
Rumunia,2021,7.75,1.839732451703547
Rumunia,2022,11.5,4.4877312802362965
Rumunia,2023,12.55,5.818791852984449
Rumunia,2024,10.99,8.663647628717849
Rumunia,2025,9.15,53.91374802207848
Szwecja,2009,0.01,0.41855805625012593
Szwecja,2010,0.02,0.5862403867266578
Szwecja,2011,0.06,0.7487413213653888
Szwecja,2012,0.33,0.7276002045228961
Szwecja,2013,0.54,0.7310871155889416
Szwecja,2014,1.44,0.7706855315852111
Szwecja,2015,2.35,1.206892830571569
Szwecja,2016,3.41,1.2251280981200976
Szwecja,2017,5.08,1.3127082506392107
Szwecja,2018,7.84,1.4707532335264173
Szwecja,2019,10.91,1.9930011467728697
Szwecja,2020,32.09,11.150972597314176
Szwecja,2021,44.95,20.764601846084606
Szwecja,2022,55.92,23.49106101923126
Szwecja,2023,59.53,32.93811748095579
Szwecja,2024,58.27,48.58019611241779
Szwecja,2025,63.39,92.04737033146424
Słowacja,2009,0.0,0.016682181953951443
Słowacja,2010,0.0,0.02288448458059196
Słowacja,2011,0.06,0.02365824220703998
Słowacja,2012,0.0,0.024994777573688575
Słowacja,2015,0.04,0.03976199893703007
Słowacja,2017,0.4,0.030606910451438426
Słowacja,2018,0.5900000000000001,0.03510027721527452
Słowacja,2019,0.37,0.044897045673748866
Słowacja,2020,2.25,0.38531314964697055
Słowacja,2021,2.84,0.4959789786549907
Słowacja,2022,3.97,0.5868266865130863
Słowacja,2023,6.109999999999999,1.3184906787053146
Słowacja,2024,4.63,1.7113612092405854
Słowacja,2025,9.09,13.987204530822611
Słowenia,2009,0.0,0.02868332311810159
Słowenia,2010,0.0,0.02863268234917004
Słowenia,2011,0.02,0.03140516149391449
Słowenia,2012,0.05,0.028153222947149125
Słowenia,2014,0.04,0.03511544458110089
Słowenia,2015,0.16,0.045298658016749316
Słowenia,2016,0.29,0.06022317690736333
Słowenia,2017,0.72,0.08102442113696472
Słowenia,2018,0.93,0.10866518924564346
Słowenia,2019,0.92,0.15762195378389715
Słowenia,2020,3.3400000000000003,0.9250837095306386
Słowenia,2021,3.66,1.6080814056308228
Słowenia,2022,6.35,2.694724478086355
Słowenia,2023,11.05,6.332464595852416
Słowenia,2024,8.15,7.882494275447238
Słowenia,2025,14.52,45.2991400438905
Wielka_Brytania,2009,0.01,0.09488216325552128
Wielka_Brytania,2010,0.0,0.10199225892623158
Wielka_Brytania,2011,0.06,0.09958212001798872
Wielka_Brytania,2012,0.12,0.12008553707546565
Wielka_Brytania,2013,0.15,0.14710569398778994
Wielka_Brytania,2014,0.59,0.1956879503558142
Wielka_Brytania,2015,1.08,0.2862935678230353
Wielka_Brytania,2016,1.42,0.2935181034841766
Wielka_Brytania,2017,1.89,0.3343872780451087
Wielka_Brytania,2018,2.53,0.3738949958930197
Wielka_Brytania,2019,3.22,0.468838886536126
Węgry,2009,0.0,0.04995628270700516
Węgry,2010,0.0,0.04996962888506708
Węgry,2011,0.02,0.05203254041683351
Węgry,2012,0.05,0.04774154441216216
Węgry,2014,0.05,0.05673776236185483
Węgry,2015,0.29,0.07600578453970719
Węgry,2017,0.93,0.09834023206477183
Węgry,2018,1.44,0.13447788991774098
Węgry,2019,1.81,0.18567367444079136
Węgry,2020,4.65,1.0804593320956113
Węgry,2021,6.970000000000001,1.5290783370766785
Węgry,2022,8.59,2.712446088632863
Węgry,2023,10.72,3.8053764816940063
Węgry,2024,11.72,5.236189603810326
Węgry,2025,14.01,32.432835530454575
Włochy,2009,0.0,0.04562404058862713
Włochy,2010,0.0,0.0417621511134876
Włochy,2011,0.01,0.044231213766792024
Włochy,2012,0.05,0.03863580213600888
Włochy,2013,0.0699999999999999,0.03680673960844615
Włochy,2014,0.09,0.03879202592963301
Włochy,2015,0.15,0.05259792709141856
Włochy,2016,0.15,0.07157271798218877
Włochy,2017,0.24,0.07315875522187198
Włochy,2018,0.51,0.08064565046127237
Włochy,2019,0.8800000000000001,0.11138082174465584
Włochy,2020,4.34,0.451006371027333
Włochy,2021,9.45,0.9363507721742301
Włochy,2022,9.05,3.1322242276207426
Włochy,2023,8.63,5.6136347867264025
Włochy,2024,7.6,6.796843193133883
Włochy,2025,12.56,37.10647046030071
Łotwa,2009,0.0,0.01572045135146196
Łotwa,2010,0.0,0.016381583970149594
Łotwa,2011,0.0,0.019917655401424247
Łotwa,2012,0.09,0.026920742837635687
Łotwa,2014,1.21,0.038856410370634954
Łotwa,2016,0.2,0.08282110415693608
Łotwa,2017,0.53,0.09558305069880674
Łotwa,2018,0.93,0.11106445442421245
Łotwa,2019,0.76,0.14385039406130468
Łotwa,2020,2.79,0.8481387898557506
Łotwa,2021,3.92,1.5726085413776674
Łotwa,2022,8.02,2.391170813187622
Łotwa,2023,11.57,5.185218951935651
Łotwa,2024,12.12,5.080593414220258
Łotwa,2025,19.55,36.18459647445266
