panstwo,rok,udzial_ev_procent,udzial_ev_dopasowany_procent
Polska,2025,12.96,10.127481663528068
Portugalia,2020,13.55,14.406603946820162
Portugalia,2021,19.77,17.829656879001412
Portugalia,2022,21.65,24.199395983035192
Portugalia,2023,31.42,28.20352585748963
Portugalia,2024,33.239999999999995,34.84985951471914
Portugalia,2025,38.42,38.270265739940186
Rumunia,2020,3.08,3.9880610696167764
Rumunia,2021,7.75,5.675472471245901
Rumunia,2022,11.5,7.2095417392799455
Rumunia,2023,12.55,9.821467019247724
Rumunia,2024,10.99,12.855413522934647
Rumunia,2025,9.15,16.55818714756096
Szwecja,2020,32.09,38.09848869307275
Szwecja,2021,44.95,44.330847566302026
Szwecja,2022,55.92,48.38538697000715
Szwecja,2023,59.53,54.9512259486552
Szwecja,2024,58.27,61.72720197076992
Szwecja,2025,63.39,65.82249679180562
Słowacja,2020,2.25,2.020597489353105
Słowacja,2021,2.84,3.2666177806060306
Słowacja,2022,3.97,4.295538046309593
Słowacja,2023,6.109999999999999,5.142217958116151
Słowacja,2024,4.63,6.153617366238609
Słowacja,2025,9.09,7.3286837204523145
Słowenia,2020,3.3400000000000003,3.0823411162928362
Słowenia,2021,3.66,5.601899705599432
Słowenia,2022,6.35,7.0142099352195615
Słowenia,2023,11.05,8.157161303240011
Słowenia,2024,8.15,9.538765847439407
Słowenia,2025,14.52,11.110916926792964
Węgry,2020,4.65,5.092956388117446
Węgry,2021,6.970000000000001,7.4070157705056845
Węgry,2022,8.59,9.089919386691282
Węgry,2023,10.72,9.768427950148144
Węgry,2024,11.72,11.352396288724302
Węgry,2025,14.01,13.032380263291174
Włochy,2020,4.34,3.8647571837717636
Włochy,2021,9.45,5.7433906867761255
Włochy,2022,9.05,8.10594503353986
Włochy,2023,8.63,10.108500400340825
Włochy,2024,7.6,12.09447364968517
Włochy,2025,12.56,13.589192657973165
Łotwa,2020,2.79,4.559482585175849
Łotwa,2021,3.92,5.807142547104236
Łotwa,2022,8.02,7.142715030930741
Łotwa,2023,11.57,8.172129763791855
Łotwa,2024,12.12,11.099638077680586
Łotwa,2025,19.55,15.09953930208632
