panstwo,rok,liczba_bev_we_flocie,liczba_phev_we_flocie,procent_bev_we_flocie,procent_phev_we_flocie,liczba_bev_w_nowych_rejestracjach,liczba_phev_w_nowych_rejestracjach,procent_bev_w_nowych_rejestracjach,procent_phev_w_nowych_rejestracjach,liczba_ev_we_flocie,procent_ev_we_flocie,liczba_ev_w_nowych_rejestracjach,procent_ev_w_nowych_rejestracjach,pkb_per_capita_pps,cena_energii_eur_kwh,cena_benzyny_eur_litr,cena_diesla_eur_litr,koszt_100_km_ev,koszt_100_km_benzyna,koszt_100_km_diesel,relacja_kosztu_ev_do_benzyny,relacja_kosztu_ev_do_diesla,polityka_ue_etap,po_2035,punkty_ladowania_razem,punkty_ac,punkty_dc,ludnosc,punkty_ladowania_na_100_tys_mieszkancow
Cypr,2021,333.0,468.0,0.06,0.08,80.0,122.0,0.75,1.15,801.0,0.14,202.0,1.9,30382.9,0.214,1.24614693877551,1.2824634693877552,3.852,8.72302857142857,7.694780816326531,0.4415897493007016,0.5005990543391378,1,0,,60.0,,914476,
Cypr,2022,830.0,662.0,0.14,0.11,361.0,197.0,3.1,1.69,1492.0,0.25,558.0,4.79,34492.5,0.2934,1.5368096078431372,1.7430154901960784,5.2812,10.75766725490196,10.45809294117647,0.4909242752041348,0.5049869062844548,1,0,,67.0,,929764,
Cypr,2023,1449.0,1175.0,0.23,0.19,796.0,505.0,5.39,3.42,2624.0,0.42,1301.0,8.809999999999999,37400.0,0.35955,1.4478507692307694,1.5468421153846152,6.471900000000001,10.134955384615386,9.281052692307693,0.6385721253222472,0.6973239151377765,1,0,329.0,306.0,23.0,949084,34.6650033084532
Cypr,2024,2150.0,1440.0,0.33,0.22,1193.0,664.0,7.92,4.41,3590.0,0.55,1857.0,12.33,39456.4,0.3246,1.4397558490566036,1.5061507547169812,5.8428,10.078290943396226,9.036904528301887,0.5797411518297634,0.6465488245119165,1,0,512.0,475.0,37.0,966365,52.98205129531802
Cypr,2025,3569.0,2235.0,0.53,0.33,1474.0,773.0,10.07,5.28,5804.0,0.8600000000000001,2247.0,15.35,40957.0,0.2853,1.366345769230769,1.4554965384615386,5.1354,9.564420384615383,8.732979230769232,0.5369274659090082,0.5880467437625699,2,0,761.0,715.0,46.0,982966,77.41875100461257
Czechy,2020,8109.0,2816.0,0.13,0.05,3264.0,1975.0,1.61,0.97,10925.0,0.18,5239.0,2.58,29178.2,0.1818,1.0678868,1.059508,3.2724,7.475207599999999,6.357048000000001,0.437767106294145,0.5147672315829611,1,0,1031.0,631.0,400.0,10693939,9.64097513554173
Czechy,2021,9051.0,5796.0,0.15,0.1,2644.0,3779.0,1.28,1.83,14847.0,0.25,6423.0,3.1100000000000003,30502.4,0.18425,1.2819434693877552,1.221791224489796,3.3165,8.973604285714286,7.330747346938775,0.3695839368891907,0.4524095352140225,1,0,2001.0,1384.0,618.0,10494836,19.06651995324177
Czechy,2022,14195.0,9530.0,0.23,0.15,3930.0,3560.0,2.05,1.85,23725.0,0.38,7490.0,3.9,32419.7,0.2082999999999999,1.6959911764705882,1.7638409803921569,3.7494,11.871938235294117,10.58304588235294,0.3158203762257959,0.354283638347639,1,0,3817.0,2756.0,1061.0,10516707,36.29463100949755
Czechy,2023,22441.0,15683.0,0.36,0.25,7504.0,5558.0,3.39,2.51,38124.0,0.61,13062.0,5.9,34973.9,0.31705,1.5741259615384615,1.500223653846154,5.7069,11.01888173076923,9.001341923076923,0.5179200702430627,0.6340054681590425,1,0,4664.0,3389.0,1275.0,10827529,43.07538682186859
Czechy,2024,31713.0,23039.0,0.47,0.34,10876.0,5808.0,4.7,2.51,54752.0,0.81,16684.0,7.21,36255.5,0.33415,1.4879896026782085,1.4512523000535489,6.0147,10.41592721874746,8.707513800321294,0.577452191598866,0.690748259253757,1,0,6359.0,4466.0,1893.0,10900555,58.33647919761884
