panstwo,rok,cena_energii_eur_kwh,cena_benzyny_eur_litr,cena_diesla_eur_litr,koszt_100_km_ev,koszt_100_km_benzyna,koszt_100_km_diesel,relacja_kosztu_ev_do_benzyny,relacja_kosztu_ev_do_diesla
Bułgaria,2018,0.09920000000000001,1.0982826,1.1059882,1.7856,7.687978200000001,6.6359292000000005,0.23225872310616072,0.2690806285275015
Bułgaria,2019,0.09775,1.0842144897959183,1.1109051020408163,1.7595,7.5895014285714275,6.665430612244897,0.23183341047623873,0.26397394292390747
Bułgaria,2020,0.09895,0.9311896000000001,0.9219700000000001,1.7811,6.518327200000001,5.531820000000001,0.27324495155751,0.32197360000867703
Bułgaria,2021,0.10575000000000001,1.075895306122449,1.0649102040816327,1.9035000000000002,7.531267142857143,6.389461224489796,0.25274631265806724,0.29791244255527916
Bułgaria,2022,0.11199999999999999,1.463731176470588,1.5665123529411764,2.016,10.246118235294116,9.399074117647059,0.19675744059400174,0.21448921189108364
Bułgaria,2023,0.11649999999999999,1.3377064705882353,1.368307450980392,2.097,9.363945294117647,8.209844705882352,0.223944067819076,0.25542505067087323
Bułgaria,2024,0.1202,1.3106739682646873,1.3095958704540152,2.1636,9.17471777785281,7.8575752227240905,0.23582196775826653,0.2753521205553176
Bułgaria,2025,0.13275,1.2377101245211484,1.2376186805320666,2.3895,8.663970871648038,7.4257120831923995,0.27579732612206664,0.3217873213006026
Chorwacja,2008,0.1087,,,1.9566000000000001,,,,
Chorwacja,2009,0.11574999999999999,,,2.0835,,,,
Chorwacja,2010,0.1152,,,2.0736,,,,
Chorwacja,2011,0.11415,,,2.0547,,,,
Chorwacja,2012,0.1296,,,2.3327999999999998,,,,
Chorwacja,2013,0.1361,1.3688023999999999,1.2981015999999999,2.4497999999999998,9.581616799999999,7.788609599999999,0.2556771003407275,0.31453624277175224
Chorwacja,2014,0.1318,1.3820991836734695,1.3038067346938775,2.3724,9.674694285714287,7.822840408163265,0.24521705078610084,0.30326580579662094
Chorwacja,2015,0.13145,1.2594518367346939,1.1637914285714284,2.3661000000000003,8.816162857142857,6.98274857142857,0.2683820657966845,0.3388493765451346
Chorwacja,2016,0.1321,1.1834938,1.0736294,2.3777999999999997,8.284456599999999,6.4417764,0.28701942864906793,0.3691217844816842
Chorwacja,2017,0.1216,1.2665072,1.1736617999999999,2.1888,8.8655504,7.0419708,0.24688822478523162,0.3108220783874878
Chorwacja,2018,0.1316,1.3556758,1.3091496,2.3688,9.4897306,7.8548976,0.24961720198885307,0.3015698129533859
Chorwacja,2019,0.13224999999999998,1.3405481632653062,1.3193355102040816,2.3804999999999996,9.383837142857143,7.91601306122449,0.2536808731609335,0.30071956445607123
Chorwacja,2020,0.13040000000000002,1.2038003999999998,1.1589676,2.3472000000000004,8.426602799999998,6.9538056,0.2785464149324804,0.33754179150478414
Chorwacja,2021,0.13019999999999998,1.4069765306122448,1.36180306122449,2.3435999999999995,9.848835714285714,8.17081836734694,0.23795706091437924,0.2868256146000912
Chorwacja,2022,0.14165,1.6045325490196078,1.7625360784313726,2.5497,11.231727843137255,10.575216470588236,0.22700870566035863,0.24110144762437902
Chorwacja,2023,0.148,1.4909940384615386,1.5820009615384616,2.6639999999999997,10.43695826923077,9.492005769230769,0.2552467808416698,0.28065722511838403
Chorwacja,2024,0.14775,1.5362641509433963,1.5605849056603776,2.6595,10.753849056603775,9.363509433962266,0.24730680019791068,0.28402812201520955
Chorwacja,2025,0.1638,1.4891153846153846,1.4763461538461538,2.9484,10.423807692307692,8.858076923076922,0.2828524937366015,0.33284876905041033
