panstwo,rok,punkty_ladowania_razem,punkty_ac,punkty_dc,ludnosc,punkty_ladowania_na_100_tys_mieszkancow
Szwajcaria,2021,7147.0,6052.0,1095.0,8670300,82.43082707634107
Szwajcaria,2022,10862.0,9337.0,1525.0,8738791,124.29637005851268
Szwajcaria,2023,14232.0,12081.0,2151.0,8815385,161.44501913416147
Szwajcaria,2024,17450.0,14081.0,3369.0,8962258,194.70539678728287
Szwajcaria,2025,19975.0,15620.0,4355.0,9051029,220.69313886851984
Szwecja,2020,14327.0,12961.0,1366.0,10327589,138.72550505253452
Szwecja,2021,18423.0,17000.0,1423.0,10379295,177.4976046060932
Szwecja,2022,24357.0,21891.0,2466.0,10452326,233.02947114355217
Szwecja,2023,37166.0,32413.0,4753.0,10521556,353.2367265830263
Szwecja,2024,53778.0,45231.0,8547.0,10551707,509.66161209745496
Szwecja,2025,62517.0,51941.0,10576.0,10587710,590.4676270883883
Słowacja,2020,425.0,238.0,187.0,5457873,7.786916258403228
Słowacja,2021,1241.0,1030.0,211.0,5459781,22.72984942070021
Słowacja,2022,2232.0,1704.0,528.0,5434712,41.06933357278178
Słowacja,2023,2380.0,1690.0,690.0,5428792,43.84032396157377
Słowacja,2024,3248.0,2193.0,1055.0,5424687,59.87442224777208
Słowacja,2025,4179.0,2632.0,1547.0,5419451,77.11113173640652
Słowenia,2020,363.0,293.0,70.0,2095861,17.319850887057875
Słowenia,2021,1247.0,1067.0,180.0,2108977,59.12819343217114
Słowenia,2022,1601.0,1371.0,230.0,2107180,75.9783217380575
Słowenia,2023,1608.0,1346.0,262.0,2116972,75.95754691134319
Słowenia,2024,2156.0,1763.0,393.0,2123949,101.5090287007833
Słowenia,2025,2545.0,2041.0,504.0,2130850,119.43590585916418
Turcja,2020,1356.0,1320.0,37.0,83154997,1.630689734737168
Turcja,2021,2234.0,2097.0,137.0,83614362,2.6717898056795555
Turcja,2022,2514.0,2206.0,326.0,84680273,2.9688142361090404
Turcja,2023,10057.0,6967.0,3090.0,85279553,11.792979261980888
Turcja,2024,11853.0,6274.0,5579.0,85372377,13.883881902456576
Turcja,2025,34948.0,20093.0,14855.0,85664944,40.796151107038604
Wielka_Brytania,2020,22504.0,18836.0,3668.0,66683687,33.74738412409619
Wielka_Brytania,2021,35022.0,30324.0,4698.0,66858928,52.381934690906206
Wielka_Brytania,2022,52210.0,45579.0,6631.0,67307061,77.56987041820175
Wielka_Brytania,2023,72920.0,61725.0,11195.0,68081159,107.10745978927885
Wielka_Brytania,2024,88097.0,71933.0,16164.0,68903810,127.85504894431817
Wielka_Brytania,2025,103580.0,82083.0,21497.0,69384219,149.28466658967508
Węgry,2020,1217.0,1049.0,168.0,9689376,12.560148352174586
Węgry,2021,2634.0,2297.0,337.0,9651461,27.2912049274198
Węgry,2022,3329.0,2868.0,461.0,9610403,34.63954633328072
Węgry,2023,3317.0,2742.0,575.0,9599744,34.55300474679325
Węgry,2024,4175.0,3170.0,1005.0,9584627,43.55933725955116
Węgry,2025,5083.0,3580.0,1503.0,9539502,53.283703908233356
Włochy,2020,11564.0,10519.0,1045.0,59641488,19.389187607123418
Włochy,2021,21365.0,19865.0,1500.0,59236213,36.06746433976122
Włochy,2022,30855.0,27561.0,3294.0,59030133,52.26991441811592
Włochy,2023,41113.0,35195.0,5918.0,58997201,69.68635681546995
Włochy,2024,58189.0,47803.0,10386.0,58971230,98.67353962262615
Włochy,2025,70039.0,55484.0,14555.0,58943464,118.82403110886051
Łotwa,2020,266.0,145.0,121.0,1907675,13.943674892211725
Łotwa,2021,359.0,204.0,155.0,1893223,18.962372631221996
Łotwa,2022,506.0,327.0,179.0,1875757,26.975775646845513
Łotwa,2023,534.0,296.0,239.0,1895239,28.175865946194648
Łotwa,2024,1157.0,676.0,481.0,1878575,61.589236522364025
Łotwa,2025,2051.0,883.0,1168.0,1860565,110.23533174062717
