panstwo,rok,liczba_bev_we_flocie,liczba_phev_we_flocie,procent_bev_we_flocie,procent_phev_we_flocie,liczba_bev_w_nowych_rejestracjach,liczba_phev_w_nowych_rejestracjach,procent_bev_w_nowych_rejestracjach,procent_phev_w_nowych_rejestracjach,liczba_ev_we_flocie,procent_ev_we_flocie,liczba_ev_w_nowych_rejestracjach,procent_ev_w_nowych_rejestracjach,szacowana_calkowita_flota_samochodow_osobowych,szacowana_liczba_wszystkich_nowych_rejestracji
Chorwacja,2022,4801.0,2544.0,0.26,0.14,1305.0,770.0,3.04,1.79,7345.0,0.4,2075.0,4.83,1836250.0,42960.66252587992
Chorwacja,2023,7058.0,4534.0,0.37,0.24,1617.0,1014.0,2.87,1.8,11592.0,0.61,2631.0,4.67,1900327.8688524591,56338.32976445396
Chorwacja,2024,9987.0,8146.0,0.5,0.41,1793.0,1405.0,2.76,2.16,18133.0,0.9099999999999999,3198.0,4.92,1992637.362637363,65000.0
Chorwacja,2025,12605.0,13562.0,0.62,0.66,1293.0,2529.0,1.85,3.62,26167.0,1.28,3822.0,5.470000000000001,2044296.875,69872.02925045702
Cypr,2008,,,,,0.0,0.0,,,,,0.0,,,
Cypr,2009,,,,,0.0,0.0,,,,,0.0,,,
Cypr,2010,,,,,0.0,0.0,,,,,0.0,,,
Cypr,2011,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Cypr,2012,1.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Cypr,2013,6.0,,0.0,,,,,,,,,,,
Cypr,2014,15.0,3.0,0.0,0.0,,,,,18.0,0.0,,,,
Cypr,2015,23.0,29.0,0.0,0.01,,20.0,,0.2,52.0,0.01,,,520000.0,
Cypr,2016,40.0,49.0,0.01,0.01,21.0,18.0,0.17,0.14,89.0,0.02,39.0,0.31000000000000005,445000.0,12580.645161290322
Cypr,2017,87.0,104.0,0.02,0.02,49.0,50.0,0.37,0.38,191.0,0.04,99.0,0.75,477500.0,13200.0
Cypr,2018,114.0,158.0,0.02,0.03,37.0,49.0,0.28,0.37,272.0,0.05,86.0,0.65,544000.0,13230.76923076923
Cypr,2019,167.0,242.0,0.03,0.04,63.0,88.0,0.5,0.7,409.0,0.07,151.0,1.2,584285.7142857142,12583.333333333334
Cypr,2020,240.0,320.0,0.04,0.06,42.0,78.0,0.42,0.78,560.0,0.1,120.0,1.2,560000.0,10000.0
Cypr,2021,333.0,468.0,0.06,0.08,80.0,122.0,0.75,1.15,801.0,0.14,202.0,1.9,572142.857142857,10631.578947368422
Cypr,2022,830.0,662.0,0.14,0.11,361.0,197.0,3.1,1.69,1492.0,0.25,558.0,4.79,596800.0,11649.269311064718
Cypr,2023,1449.0,1175.0,0.23,0.19,796.0,505.0,5.39,3.42,2624.0,0.42000000000000004,1301.0,8.809999999999999,624761.9047619046,14767.309875141887
Cypr,2024,2150.0,1440.0,0.33,0.22,1193.0,664.0,7.92,4.41,3590.0,0.55,1857.0,12.33,652727.2727272727,15060.827250608272
Cypr,2025,3569.0,2235.0,0.53,0.33,1474.0,773.0,10.07,5.28,5804.0,0.8600000000000001,2247.0,15.350000000000001,674883.7209302324,14638.436482084688
Czechy,2008,29.0,,,,0.0,0.0,,,,,0.0,,,
Czechy,2009,34.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Czechy,2010,38.0,,0.0,,4.0,0.0,0.0,0.0,,,4.0,0.0,,
Czechy,2011,72.0,,0.0,,56.0,0.0,0.03,0.0,,,56.0,0.03,,186666.6666666667
Czechy,2012,145.0,13.0,0.0,0.0,92.0,16.0,0.05,0.01,158.0,0.0,108.0,0.060000000000000005,,179999.99999999997
Czechy,2013,191.0,18.0,0.0,0.0,33.0,4.0,0.02,0.0,209.0,0.0,37.0,0.02,,185000.0
Czechy,2014,417.0,54.0,0.01,0.0,58.0,13.0,0.03,0.01,471.0,0.01,71.0,0.04,4710000.0,177500.0
Czechy,2015,713.0,131.0,0.01,0.0,312.0,89.0,0.14,0.04,844.0,0.01,401.0,0.18000000000000002,8440000.0,222777.77777777775
Czechy,2016,974.0,260.0,0.02,0.0,210.0,129.0,0.08,0.05,1234.0,0.02,339.0,0.13,6170000.0,260769.23076923078
Czechy,2017,1525.0,432.0,0.03,0.01,376.0,241.0,0.14,0.09,1957.0,0.04,617.0,0.23,4892500.0,268260.8695652174
Czechy,2018,3405.0,699.0,0.06,0.01,731.0,243.0,0.28,0.09,4104.0,0.06999999999999999,974.0,0.37,5862857.142857144,263243.24324324325
Czechy,2019,4950.0,1218.0,0.08,0.02,778.0,482.0,0.31,0.19,6168.0,0.1,1260.0,0.5,6168000.0,252000.0
Czechy,2020,8109.0,2816.0,0.13,0.05,3264.0,1975.0,1.61,0.97,10925.0,0.18,5239.0,2.58,6069444.444444445,203062.01550387597
Czechy,2021,9051.0,5796.0,0.15,0.1,2644.0,3779.0,1.28,1.83,14847.0,0.25,6423.0,3.1100000000000003,5938800.0,206527.3311897106
Czechy,2022,14195.0,9530.0,0.23,0.15,3930.0,3560.0,2.05,1.85,23725.0,0.38,7490.0,3.9,6243421.052631579,192051.28205128206
Czechy,2023,22441.0,15683.0,0.36,0.25,7504.0,5558.0,3.39,2.51,38124.0,0.61,13062.0,5.9,6249836.065573771,221389.83050847455
Czechy,2024,31713.0,23039.0,0.47,0.34,10876.0,5808.0,4.7,2.51,54752.0,0.81,16684.0,7.21,6759506.172839505,231400.8321775312
Czechy,2025,45549.0,35513.0,0.66,0.52,13803.0,11032.0,5.55,4.44,81062.0,1.1800000000000002,24835.0,9.99,6869661.016949152,248598.5985985986
Dania,2008,,,,,0.0,0.0,,,,,0.0,,,
Dania,2009,31.0,,,,31.0,0.0,0.02,0.0,,,31.0,0.02,,155000.0
Dania,2010,51.0,,,,20.0,0.0,0.01,0.0,,,20.0,0.01,,200000.0
Dania,2011,466.0,,,,415.0,0.0,0.24,0.0,,,415.0,0.24,,172916.6666666667
Dania,2012,937.0,33.0,0.04,0.0,471.0,33.0,0.28,0.02,970.0,0.04,504.0,0.30000000000000004,2425000.0,167999.99999999997
Dania,2013,1434.0,44.0,0.06,0.0,497.0,7.0,0.28,0.0,1478.0,0.06,504.0,0.28,2463333.3333333335,179999.99999999997
Dania,2014,2916.0,89.0,0.13,0.0,1569.0,21.0,0.83,0.01,3005.0,0.13,1590.0,0.84,2311538.4615384615,189285.7142857143
Dania,2015,7887.0,552.0,0.33,0.02,4133.0,123.0,2.0,0.06,8439.0,0.35000000000000003,4256.0,2.06,2411142.857142857,206601.94174757283
Dania,2016,8662.0,1095.0,0.35,0.04,1219.0,157.0,0.55,0.07,9757.0,0.38999999999999996,1376.0,0.6200000000000001,2501794.871794872,221935.48387096773
Dania,2017,8764.0,1759.0,0.35,0.07,710.0,240.0,0.32,0.11,10523.0,0.42,950.0,0.43,2505476.1904761908,220930.23255813954
Dania,2018,10037.0,5135.0,0.39,0.2,1502.0,3180.0,0.69,1.46,15172.0,0.5900000000000001,4682.0,2.15,2571525.4237288134,217767.44186046513
Dania,2019,15504.0,9685.0,0.58,0.37,5487.0,3822.0,2.43,1.69,25189.0,0.95,9309.0,4.12,2651473.6842105263,225946.60194174756
Dania,2020,31886.0,29025.0,1.17,1.07,14185.0,18337.0,7.16,9.25,60911.0,2.24,32522.0,16.41,2719241.071428571,198184.03412553322
